rank,id,smiles,fitness,pred_pIC50,affinity_norm,permeability_norm,safety_norm,druglikeness_qed,n_chelators,chelator_penalty,logKp_cm_h,struct_alerts,applicability_tanimoto,is_hit,canon,pIC50_hdac6,pIC50_hdac1,pIC50_hdac2,pIC50_hdac3,selectivity,pareto,sa_score,MW,cLogP,HBD,HBA,TPSA,rotB,lipinski_ok,veber_ok,pred_uncertainty,developable
5764,CAND-02067,CCC(CC)(c1ccc(OCCCCC(=O)NO)c(C)c1)c1cc(C)c(OCC(O)C(C)(C)C)cc1Cl,0.2143907743101187,5.700234965375852,0.1400393872404804,0.8995633752129448,0.5,0.1479036022995948,1,1.0,-1.0569352999999966,3,0.8103448275862069,False,CCC(CC)(c1ccc(OCCCCC(=O)NO)c(C)c1)c1cc(C)c(OCC(O)C(C)(C)C)cc1Cl,5.22,5.95,5.69,5.19,-0.73,False,3.39,534.1,6.9,3,5,88.0,13,False,False,0.474,False
5765,CAND-02069,CCC(CC)(c1ccc(OCCCCC(=O)NO)c(C)c1)c1ccc(OCC(O)C(C)(C)C)c(C)c1Cl,0.2143907743101187,5.700234965375852,0.1400393872404804,0.8995633752129448,0.5,0.1479036022995948,1,1.0,-1.0569352999999966,3,0.7966101694915254,False,CCC(CC)(c1ccc(OCCCCC(=O)NO)c(C)c1)c1ccc(OCC(O)C(C)(C)C)c(C)c1Cl,5.22,5.92,5.68,5.2,-0.7,False,3.43,534.1,6.9,3,5,88.0,13,False,False,0.475,False
5766,CAND-01689,COc1cc([C@@H]2c3cc4c(cc3[C@@H](Nc3ccc(OCCCCCCCC(=O)NO)cc3C#N)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,0.2141684135986103,7.304187882869608,0.6783176357599198,0.5758477116088869,0.3333333333333333,0.0750378088353136,2,0.5,-3.0307251000000006,4,0.7857142857142857,True,COc1cc([C@@H]2c3cc4c(cc3[C@@H](Nc3ccc(OCCCCCCCC(=O)NO)cc3C#N)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,7.49,7.05,6.68,7.06,0.43,False,4.31,673.7,5.32,4,12,177.8,14,False,False,0.571,False
5767,CAND-01878,COc1cc(C(=O)c2c(C)n(Cc3ccc(/C=C/C(=O)NO)cc3)c3ccccc23)cc(OC)c1OC,0.2141494905538808,6.973714157953068,0.5674123742091468,0.6851572058670539,0.5,0.1486426466772941,2,0.5,-2.3642329,3,0.71875,False,COc1cc(C(=O)c2c(C)n(Cc3ccc(/C=C/C(=O)NO)cc3)c3ccccc23)cc(OC)c1OC,6.88,6.32,5.84,6.04,0.56,False,2.49,500.6,4.77,2,7,99.0,9,True,True,0.462,False
5768,CAND-01552,CCCCN(O)C(=O)c1cccc(NC(=O)CCCCCS[C@@H]2Cc3c(ccc(O)c3Cl)[C@H]3CC[C@]4(C)[C@@H](O)CC[C@H]4[C@@H]32)c1,0.2141426255237516,5.772226490205129,0.1641993681667894,0.8953558206724044,0.5,0.1068098048011897,1,1.0,-1.082589999999994,3,0.8160919540229885,False,CCCCN(O)C(=O)c1cccc(NC(=O)CCCCCS[C@@H]2Cc3c(ccc(O)c3Cl)[C@H]3CC[C@]4(C)[C@@H](O)CC[C@H]4[C@@H]32)c1,5.09,6.34,5.79,5.89,-1.25,False,4.54,643.3,7.8,4,6,110.1,12,False,False,1.071,False
5769,CAND-01553,CCCCN(O)C(=O)c1cccc(NC(=O)CCCCCS[C@@H]2Cc3cc(O)c(Cl)cc3[C@H]3CC[C@]4(C)[C@@H](O)CC[C@H]4[C@@H]32)c1,0.2141426255237516,5.772226490205129,0.1641993681667894,0.8953558206724044,0.5,0.1068098048011897,1,1.0,-1.0825899999999948,3,0.8705882352941177,False,CCCCN(O)C(=O)c1cccc(NC(=O)CCCCCS[C@@H]2Cc3cc(O)c(Cl)cc3[C@H]3CC[C@]4(C)[C@@H](O)CC[C@H]4[C@@H]32)c1,4.93,6.32,5.77,5.87,-1.39,False,4.5,643.3,7.8,4,6,110.1,12,False,False,0.906,False
5770,CAND-01415,COc1cc(OC)c2c(N3CCC(F)(F)CC3)nc(-c3cc(C)c(OCCCCCC(=O)NO)c(C)c3)nc2c1OC,0.2139644577907792,6.954701323789002,0.5610317660493915,0.6955436318339666,0.5,0.1580434418562088,2,0.5,-2.3009037999999995,3,0.7733333333333333,False,COc1cc(OC)c2c(N3CCC(F)(F)CC3)nc(-c3cc(C)c(OCCCCCC(=O)NO)c(C)c3)nc2c1OC,6.86,7.22,6.85,6.25,-0.36,False,3.12,588.7,5.62,2,9,115.3,12,False,False,0.67,False
5771,CAND-00643,COc1ccc(N(C)c2nc(C)nc3cccc(C(F)(F)F)c23)cc1OCCCC(=O)NO,0.2138861228198026,6.718186387659711,0.4816585848419965,0.6775550966890276,0.5,0.2898098440620232,2,0.5,-2.4105852000000003,3,0.7205882352941176,False,COc1ccc(N(C)c2nc(C)nc3cccc(C(F)(F)F)c23)cc1OCCCC(=O)NO,7.04,6.38,6.6,6.32,0.44,False,2.74,464.4,4.4,2,7,96.8,8,True,True,0.696,False
5772,CAND-03279,COc1cc(F)ccc1-c1nc(N(C)S(C)(=O)=O)nc(C(C)C)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)NO,0.2138514145077623,6.585448635527687,0.4371124862933703,0.3164909513066494,0.6666666666666667,0.2527108417850208,2,0.5,-4.612099700000003,2,0.7638888888888888,False,COc1cc(F)ccc1-c1nc(N(C)S(C)(=O)=O)nc(C(C)C)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)NO,6.47,6.47,6.39,6.55,-0.08,False,3.86,526.6,1.83,4,9,162.2,11,True,False,0.778,False
5773,CAND-03280,COc1cc(-c2nc(N(C)S(C)(=O)=O)nc(C(C)C)c2/C=C/[C@@H](O)C[C@@H](O)CC(=O)NO)ccc1F,0.2138514145077623,6.585448635527687,0.4371124862933703,0.3164909513066494,0.6666666666666667,0.2527108417850208,2,0.5,-4.612099700000003,2,0.7777777777777778,False,COc1cc(-c2nc(N(C)S(C)(=O)=O)nc(C(C)C)c2/C=C/[C@@H](O)C[C@@H](O)CC(=O)NO)ccc1F,6.53,6.6,6.48,6.53,-0.07,False,3.83,526.6,1.83,4,9,162.2,11,True,False,0.786,False
5774,CAND-00609,COc1ccc(N(C)c2nc(C)nc3ccccc23)c(F)c1OCCCC(=O)NO,0.2135991009729542,6.641698502852078,0.4559896489161578,0.6251475428930792,0.5,0.330677924959432,2,0.5,-2.730129500000001,3,0.6865671641791045,False,COc1ccc(N(C)c2nc(C)nc3ccccc23)c(F)c1OCCCC(=O)NO,6.97,6.41,6.62,6.48,0.35,False,2.66,414.4,3.52,2,7,96.8,8,True,True,0.8,False
5775,CAND-00607,COc1ccc(N(C)c2nc(C)nc3ccc(F)cc23)cc1OCCCC(=O)NO,0.2135991009729542,6.641698502852078,0.4559896489161578,0.6251475428930792,0.5,0.330677924959432,2,0.5,-2.730129500000001,3,0.7936507936507936,False,COc1ccc(N(C)c2nc(C)nc3ccc(F)cc23)cc1OCCCC(=O)NO,7.19,6.52,6.8,6.32,0.39,False,2.53,414.4,3.52,2,7,96.8,8,True,True,0.729,False
5776,CAND-00641,COc1ccc(N(C)c2nc(C)nc3cc(C(F)(F)F)ccc23)cc1OCCCC(=O)NO,0.2135605442681903,6.714305772612247,0.4803562706355476,0.6775550966890276,0.5,0.2898098440620232,2,0.5,-2.4105852000000003,3,0.7575757575757576,False,COc1ccc(N(C)c2nc(C)nc3cc(C(F)(F)F)ccc23)cc1OCCCC(=O)NO,7.01,6.42,6.68,6.25,0.33,False,2.65,464.4,4.4,2,7,96.8,8,True,True,0.779,False
