rank,id,smiles,fitness,pred_pIC50,affinity_norm,permeability_norm,safety_norm,druglikeness_qed,n_chelators,chelator_penalty,logKp_cm_h,struct_alerts,applicability_tanimoto,is_hit,pIC50_mmp1,pIC50_mmp2,pIC50_mmp3,pIC50_mmp9,pIC50_mmp13,sel_vs_mmp2,sel_vs_mmp3,sel_vs_mmp9,sel_vs_mmp13,min_MMP1_selectivity,potent_and_MMP1_selective
31,CAND-00042,C[C@H](C(=O)NO)N(Cc1ccccc1C#N)P(=O)(c1ccccc1)c1ccccc1,0.4255973434233791,6.337266994397293,0.4820429077719086,0.6600482865055481,0.4,0.3485862984580825,1,1.0,-2.9983393000000005,3,0.6595744680851063,False,5.96,6.98,5.65,6.85,6.98,-1.02,0.31,-0.89,-1.02,-1.02,False
8,CAND-00011,N#Cc1ccccc1-c1ccc(S(=O)(=O)CC(=O)NO)cc1,0.4829322637370791,5.931502803108778,0.3320343259168042,0.5117950529495857,0.6,0.6563836692622564,1,1.0,-3.561552,2,0.6341463414634146,False,5.94,7.11,6.67,6.06,6.58,-1.17,-0.73,-0.12,-0.64,-1.17,False
16,CAND-00012,CC(N)(CS(=O)(=O)c1ccc(-c2ccccc2C#N)cc1)C(=O)NO,0.4678610758312288,6.034236816116112,0.3700144728355753,0.3898240085327917,0.6,0.5428461313781372,1,1.0,-4.024918900000001,2,0.5769230769230769,False,5.92,7.36,6.48,6.18,7.26,-1.44,-0.56,-0.26,-1.34,-1.44,False
5,CAND-00004,CC(C)C(C(=O)NO)S(=O)(=O)c1ccc(-c2ccccc2C#N)cc1,0.4949265448809078,6.038051131735065,0.371424602386263,0.6357152991412717,0.6,0.6307141456259209,1,1.0,-3.0907801000000004,2,0.5306122448979592,False,5.92,7.51,6.92,6.27,6.95,-1.59,-1.0,-0.35,-1.03,-1.59,False
33,CAND-00005,C#CCC(CC#C)(C(=O)NO)S(=O)(=O)c1ccc(-c2ccccc2C#N)cc1,0.4096247303782767,6.093485938597377,0.391918517180519,0.536390057254676,0.4,0.4455515726267238,1,1.0,-3.4681158000000005,3,0.5660377358490566,False,5.88,7.19,6.67,6.01,6.95,-1.31,-0.79,-0.13,-1.07,-1.31,False
14,CAND-00006,CCC(CCS)S(=O)(=O)c1ccc(-c2ccccc2C#N)cc1,0.4696312666813803,5.406714186419256,0.1380231296273762,0.949616542918896,0.8,0.8020656728923071,1,1.0,-1.898272099999999,1,0.5208333333333334,False,5.86,5.91,6.34,5.01,7.95,-0.05,-0.48,0.85,-2.09,-2.09,False
27,CAND-00008,CCCC(CCS)S(=O)(=O)c1ccc(-c2ccccc2C#N)cc1,0.4513768468541327,5.406714186419256,0.1380231296273762,1.0,0.8,0.7412176068014819,1,1.0,-1.7068657999999983,1,0.5306122448979592,False,5.82,5.94,6.32,5.03,8.0,-0.12,-0.5,0.79,-2.18,-2.18,False
37,CAND-00019,CCCCCC[C@H](C(=O)NO)[S@@+]([O-])c1ccc(-c2ccccc2C#N)cc1,0.3321870534270841,6.138002561835501,0.4083760451346818,0.901889343775755,0.1999999999999999,0.2933301028658109,1,1.0,-2.079587299999999,4,0.5964912280701754,False,5.81,7.16,6.97,6.51,7.3,-1.35,-1.16,-0.7,-1.49,-1.49,False
38,CAND-00018,CCCCCC[C@@H](C(=O)NO)[S@@+]([O-])c1ccc(-c2ccccc2C#N)cc1,0.3321870534270841,6.138002561835501,0.4083760451346818,0.901889343775755,0.1999999999999999,0.2933301028658109,1,1.0,-2.079587299999999,4,0.5964912280701754,False,5.81,7.16,6.97,6.51,7.3,-1.35,-1.16,-0.7,-1.49,-1.49,False
39,CAND-00020,CCCCCC[C@@H](C(=O)NO)[S@+]([O-])c1ccc(-c2ccccc2C#N)cc1,0.3321870534270841,6.138002561835501,0.4083760451346818,0.901889343775755,0.1999999999999999,0.2933301028658109,1,1.0,-2.079587299999999,4,0.5964912280701754,False,5.81,7.16,6.97,6.51,7.3,-1.35,-1.16,-0.7,-1.49,-1.49,False
51,CAND-01462,N#Cc1ccccc1C[C@H](CC(=O)NO)C(=O)ON(CC(=O)NO)S(=O)(=O)c1ccc(-c2ccccc2)cc1,0.151024276305561,5.687716721324236,0.2419080772491172,0.2127765240823151,0.6,0.2036483799552113,2,0.5,-4.697520700000002,2,0.5238095238095238,False,5.74,7.66,5.91,6.57,7.83,-1.92,-0.17,-0.83,-2.09,-2.09,False
56,CAND-00934,N#Cc1ccccc1C[C@H](CC(=O)NO)C(=O)ON(CC(=O)NO)S(=O)(=O)c1ccc(C#Cc2ccc(CCCC(=O)O)cc2)s1,0.0513114792530258,5.279077892562065,0.0908367592038102,0.0639675113734146,0.4,0.095053527190575,3,0.3333333333333333,-5.262844800000001,3,0.5232558139534884,False,5.67,7.4,6.0,6.36,7.3,-1.73,-0.33,-0.69,-1.63,-1.73,False
52,CAND-00932,CCCc1ccc(C#Cc2ccc(S(=O)(=O)N(CC(=O)NO)OC(=O)[C@@H](CC(=O)NO)Cc3ccccc3C#N)s2)cc1,0.0974077347514975,5.437786679675055,0.1495104435601388,0.2365256722113844,0.4,0.1335341590764187,2,0.5,-4.607297900000001,3,0.5609756097560976,False,5.63,7.5,5.97,6.46,7.39,-1.87,-0.34,-0.83,-1.76,-1.87,False
28,CAND-00010,N#Cc1ccccc1-c1ccc(S(=O)(=O)C2CCCC(S)C2)cc1,0.439103070478084,5.186465464771956,0.0565985014836403,0.956962677721532,0.8,0.8360127324542127,1,1.0,-1.8703641999999985,1,0.56,False,5.61,5.76,5.39,5.35,8.29,-0.15,0.22,0.26,-2.68,-2.68,False
53,CAND-00933,CCCCc1ccc(C#Cc2ccc(S(=O)(=O)N(CC(=O)NO)OC(=O)[C@@H](CC(=O)NO)Cc3ccccc3C#N)s2)cc1,0.0958764682034893,5.436662736988597,0.1490949287066804,0.2869091292924884,0.4,0.1240182401787949,2,0.5,-4.4158916,3,0.625,False,5.51,7.5,6.0,6.38,7.52,-1.99,-0.49,-0.87,-2.01,-2.01,False
55,CAND-00936,CCCCCCc1ccc(C#Cc2ccc(S(=O)(=O)N(CC(=O)NO)OC(=O)[C@@H](CC(=O)NO)Cc3ccccc3C#N)s2)cc1,0.0694106912518648,5.436662736988597,0.1490949287066804,0.3876760434546963,0.1999999999999999,0.080913060501298,2,0.5,-4.033079,4,0.5903614457831325,False,5.51,7.5,5.97,6.34,7.54,-1.99,-0.46,-0.83,-2.03,-2.03,False
54,CAND-00935,CCCCCc1ccc(C#Cc2ccc(S(=O)(=O)N(CC(=O)NO)OC(=O)[C@@H](CC(=O)NO)Cc3ccccc3C#N)s2)cc1,0.0704109136430026,5.436662736988597,0.1490949287066804,0.3372925863735923,0.1999999999999999,0.0875812097755501,2,0.5,-4.2244853,4,0.5975609756097561,False,5.51,7.5,5.99,6.35,7.55,-1.99,-0.48,-0.84,-2.04,-2.04,False
57,CAND-00937,CCCCCCCCc1ccc(C#Cc2ccc(S(=O)(=O)N(CC(=O)NO)OC(=O)[C@@H](CC(=O)NO)Cc3ccccc3C#N)s2)cc1,0.0469333475483099,5.214972710657727,0.0671374588872979,0.4884429576169041,0.1999999999999999,0.067659885509903,2,0.5,-3.6502664,4,0.5903614457831325,False,5.5,7.47,5.95,6.22,7.55,-1.97,-0.45,-0.72,-2.05,-2.05,False
6,CAND-00055,N#Cc1ccccc1NS(=O)(=O)N1CCc2c([nH]c3cc(F)ccc23)C1,0.4919851734484941,5.62369565920234,0.218239875510402,0.684622495815336,0.8,0.7428841189776437,1,1.0,-2.9049821,1,0.5342465753424658,False,5.43,6.27,5.3,6.1,5.68,-0.84,0.13,-0.67,-0.25,-0.84,False
13,CAND-00053,N#Cc1ccccc1N1CCc2cc(O)ccc2C1C(=O)NO,0.4699476677648478,5.983395433985732,0.3512187195466681,0.5919627343155062,0.6,0.581127693305046,1,1.0,-3.2569957000000005,2,0.5423728813559322,False,5.39,6.5,6.19,6.05,6.16,-1.11,-0.8,-0.66,-0.77,-1.11,False
30,CAND-00056,N#Cc1ccccc1NS(=O)(=O)N1CCc2c(nn3cc(F)ccc23)C1,0.428895039917161,5.033369922512687,0.0,0.5272431285043843,1.0,0.7629834663905369,1,1.0,-3.5028649000000005,0,0.5277777777777778,False,5.13,5.6,5.25,5.73,5.56,-0.47,-0.12,-0.6,-0.43,-0.6,False
