rank,id,smiles,fitness,pred_pIC50,affinity_norm,permeability_norm,safety_norm,logKp_cm_h,struct_alerts,applicability_tanimoto,is_hit
4984,CAND-04539,NS(=O)(=O)c1ccc(CCNC(=O)CN(CC(=O)NO)S(=O)(=O)c2ccc(-c3ccccc3)cc2O)cc1,0.4954164842132198,6.5853878785976425,0.5110509515509579,0.4268915527731832,0.6,-5.733282600000001,2,0.8035714285714286,True
4985,CAND-03311,COc1ccc(S(=O)(=O)N2Cc3ccccc3N(C(=O)CN3CCN(C)CC3)CC2C(=O)NO)c(C(F)(F)F)c1,0.4954011285249058,6.032721620281831,0.39682074120901273,0.503010902582671,0.6,-5.297431500000004,2,0.7534246575342466,True
4986,CAND-02087,CC(=O)N[C@@H](CS)C(=O)N[C@@H](Cc1cncc(O)c1)C(N)=O,0.49495843191728656,5.5894674529871,0.30520484101036616,0.45199328803150374,0.8,-5.589552800000001,1,0.6862745098039216,False
4987,CAND-00258,COc1ccc(S(=O)(=O)N2CCCCN(S(=O)(=O)c3ccc(OC)cc3O)C2C(=O)NO)cc1,0.49467616355489896,6.070394610341783,0.40460734571762236,0.4962087996435829,0.6,-5.336379600000002,2,0.7916666666666666,True
4988,CAND-02940,COc1ccc(S(=O)(=O)N(CC(=O)O)CC(=O)NO)cc1C#N,0.4944218697979543,6.146234409220915,0.42028262179590903,0.4851935183537369,0.6,-5.399451899999999,2,0.6274509803921569,True
4989,CAND-02941,COc1ccc(S(=O)(=O)N(CC(=O)O)CC(=O)NO)c(C#N)c1,0.4940825532548305,6.140762161447127,0.419151566652163,0.4851935183537369,0.6,-5.399451899999999,2,0.6274509803921569,True
4990,CAND-05311,CCCCOc1ccc(S(=O)(=O)N2C[C@@H](N3C(=O)CN(CCC)C3=O)C[C@@H]2C(=O)NO)cc1C(F)(F)F,0.49384783083536393,6.609170728770597,0.5159666125613958,0.6423507712598782,0.19999999999999996,-4.499586600000002,4,0.7534246575342466,True
4991,CAND-04536,COc1ccc(-c2ccc(S(=O)(=O)N(CC(=O)NO)CC(=O)NCCc3ccc(S(N)(=O)=O)cc3)cc2)cc1,0.4934948338871403,6.390179632002455,0.47070349278442614,0.44951952455958316,0.6,-5.6037173,2,0.9411764705882353,True
4992,CAND-02591,COc1ccc(S(=O)(=O)N(CC(=O)N2CCOCC2)C(CCSCc2cccc(C#N)c2)C(=O)NO)cc1,0.492956929915656,6.4054911800000935,0.4738682261512886,0.5573254712672654,0.4,-4.986432200000003,3,0.8133333333333334,True
4993,CAND-02592,COc1ccc(S(=O)(=O)N(CC(=O)N2CCOCC2)C(CCSCc2ccc(C#N)cc2)C(=O)NO)cc1,0.492956929915656,6.4054911800000935,0.4738682261512886,0.5573254712672654,0.4,-4.986432200000003,3,0.821917808219178,True
4994,CAND-02990,NS(=O)(=O)c1ccc(CCNC(=O)CN(CC(=O)NO)S(=O)(=O)c2ccc(Oc3ccccc3O)cc2)cc1,0.4927691763951203,6.553633261262876,0.5044876114466926,0.42538420658025006,0.6,-5.741913500000001,2,0.8245614035087719,True
4995,CAND-02992,NS(=O)(=O)c1ccc(CCNC(=O)CN(CC(=O)NO)S(=O)(=O)c2ccc(Oc3ccc(O)cc3)cc2)cc1,0.4927691763951203,6.553633261262876,0.5044876114466926,0.42538420658025006,0.6,-5.741913500000001,2,0.8518518518518519,True
