rank,id,smiles,fitness,pred_pIC50,affinity_norm,permeability_norm,safety_norm,druglikeness_qed,n_chelators,chelator_penalty,logKp_cm_h,struct_alerts,applicability_tanimoto,is_hit,canon,pIC50_adamts5,pIC50_adamts4,selectivity,pareto,sa_score,MW,cLogP,HBD,HBA,TPSA,rotB,lipinski_ok,veber_ok,pred_uncertainty,developable
1110,CAND-01606,C[C@@H]1[C@H](c2ccc(O)cc2)[C@]1(NS(=O)(=O)N1CCn2c(cc3cc(Cl)ccc32)C1)C(=O)O,0.3178090989508502,6.980592186239665,0.5562388799096896,0.4029727550981182,1.0,0.524995859822852,2,0.5,-3.539207400000002,0,0.8666666666666667,False,C[C@@H]1[C@H](c2ccc(O)cc2)[C@]1(NS(=O)(=O)N1CCn2c(cc3cc(Cl)ccc32)C1)C(=O)O,7.17,6.98,0.19,False,3.89,476.0,2.91,3,5,111.9,5,True,True,0.512,False
1111,CAND-01154,Cc1ccc([C@H]2C[C@@]2(NS(=O)(=O)c2ccc(-c3ccc(Cl)cn3)s2)C(=O)O)cc1,0.3177227674918473,6.847094987218316,0.5155019682750789,0.6102177306954945,1.0,0.592315169487184,2,0.5,-2.5552181,0,0.8421052631578947,False,Cc1ccc([C@H]2C[C@@]2(NS(=O)(=O)c2ccc(-c3ccc(Cl)cn3)s2)C(=O)O)cc1,7.09,6.8,0.29,False,3.32,449.0,4.06,2,5,96.4,6,True,True,0.513,False
1112,CAND-00115,COCc1cc(N2CCN(S(=O)(=O)N[C@@]3(C(=O)O)[C@H](CF)[C@@H]3c3ccccc3)C[C@H]2C)no1,0.3175839938660516,6.930156457799227,0.5408483261919537,0.1650078639160775,1.0,0.5491460821204216,2,0.5,-4.669053400000001,0,0.8405797101449275,False,COCc1cc(N2CCN(S(=O)(=O)N[C@@]3(C(=O)O)[C@H](CF)[C@@H]3c3ccccc3)C[C@H]2C)no1,7.04,6.64,0.4,False,4.31,482.5,1.37,2,7,125.2,9,True,True,0.44,False
1113,CAND-00106,COCc1onc(N2CCN(S(=O)(=O)N[C@@]3(C(=O)O)[C@H](C)[C@@H]3c3ccccc3)C[C@H]2C)c1C(F)(F)F,0.3174378275880938,6.963276114245821,0.5509548492345668,0.260646836715405,1.0,0.5313274351963474,2,0.5,-4.214964100000001,0,0.6753246753246753,False,COCc1onc(N2CCN(S(=O)(=O)N[C@@]3(C(=O)O)[C@H](C)[C@@H]3c3ccccc3)C[C@H]2C)c1C(F)(F)F,6.96,6.66,0.3,False,4.34,532.5,2.44,2,7,125.2,8,True,True,0.566,False
1114,CAND-01593,Cc1c2n(c3ccc(Cl)cc13)CCN(S(=O)(=O)N[C@@]1(C(=O)O)[C@H](C)[C@@H]1c1ccccc1)C2,0.3173821202571157,7.1693442069380975,0.6138369002757692,0.4956508937273485,0.75,0.5928193012544892,2,0.5,-3.099176000000001,1,0.7121212121212122,True,Cc1c2n(c3ccc(Cl)cc13)CCN(S(=O)(=O)N[C@@]1(C(=O)O)[C@H](C)[C@@H]1c1ccccc1)C2,7.12,7.1,0.02,False,3.8,474.0,3.51,2,4,91.6,5,True,True,0.438,False
1115,CAND-00351,Cc1cnc(C)c(CCC2CCN(S(=O)(=O)CC3(N(O)C=O)CCOCC3)CC2)c1C#N,0.3173054611975161,6.213432245613067,0.3221386370579942,0.2731394848621585,0.25,0.35412047556173,1,1.0,-4.155649600000003,3,0.684931506849315,False,Cc1cnc(C)c(CCC2CCN(S(=O)(=O)CC3(N(O)C=O)CCOCC3)CC2)c1C#N,6.13,7.53,-1.4,False,3.42,464.6,1.94,1,7,123.8,8,True,True,0.515,False
1116,CAND-01973,O=C(O)[C@]1(NS(=O)(=O)c2ccc(-c3cc(Cl)ccc3C(F)(F)F)s2)C[C@@H]1c1ccccc1,0.3172887164156459,7.0720654982355855,0.5841521264423531,0.7388478296697364,1.0,0.4750045653670508,2,0.5,-1.9444885,0,0.7096774193548387,True,O=C(O)[C@]1(NS(=O)(=O)c2ccc(-c3cc(Cl)ccc3C(F)(F)F)s2)C[C@@H]1c1ccccc1,7.13,6.65,0.48,False,3.4,501.9,5.38,2,4,83.5,6,False,True,0.564,False
1117,CAND-01049,CC1(C)C[C@@H](O)CN(S(=O)(=O)c2ccc(OCc3cc(O)c(Cl)cc3Cl)cc2)[C@H]1C(=O)NO,0.317242889165189,7.991534157050842,0.864729650012425,0.3510838830000929,0.5,0.3404031777472183,2,0.5,-3.7855733000000016,2,0.803030303030303,True,CC1(C)C[C@@H](O)CN(S(=O)(=O)c2ccc(OCc3cc(O)c(Cl)cc3Cl)cc2)[C@H]1C(=O)NO,7.84,8.11,-0.27,False,3.56,519.4,2.93,4,7,136.4,6,True,True,1.156,False
1118,CAND-01612,C[C@@H]1[C@H](c2cccc(C(F)(F)F)c2)[C@]1(NS(=O)(=O)N1CCn2c(cc3cc(Cl)ccc32)C1)C(=O)O,0.3169950336423409,6.980592186239665,0.5562388799096896,0.5325410690186978,1.0,0.5195687577661233,2,0.5,-2.924023200000001,0,0.8181818181818182,False,C[C@@H]1[C@H](c2cccc(C(F)(F)F)c2)[C@]1(NS(=O)(=O)N1CCn2c(cc3cc(Cl)ccc32)C1)C(=O)O,7.13,6.88,0.25,False,3.97,528.0,4.22,2,4,91.6,5,True,True,0.531,False
1119,CAND-01165,O=C(O)[C@]1(NS(=O)(=O)c2ccc(-c3ncc(Cl)cc3O)s2)C[C@@H]1c1ccccc1,0.3169503960483256,6.961159392376188,0.5503089277291686,0.5175395920662642,1.0,0.5291544274402232,2,0.5,-2.9952495000000003,0,0.7377049180327869,False,O=C(O)[C@]1(NS(=O)(=O)c2ccc(-c3ncc(Cl)cc3O)s2)C[C@@H]1c1ccccc1,7.08,6.68,0.4,False,3.49,450.9,3.46,3,6,116.6,6,True,True,0.435,False
